jenis_kelamin,RorPython,platform_favorite,pentingnya_pemrograman,frekuensi_R,kenyamanan_R,kesulitan_R,penguasaan_R,visualisasi_R,praktikum_R,proyek_R,library_R,frekuensi_Python,kenyamanan_Python,kesulitan_Python,penguasaan_Python,visualisasi_Python,praktikum_Python,proyek_Python,library_Python
Perempuan,R,RStudio,3,3,3,4,3,3,5,0,6,3,3,4,2,3,2,3,5
Perempuan,R,RStudio,4,3,3,2,3,2,4,1,6,2,2,4,2,2,1,0,3
Perempuan,R,RStudio,4,3,3,4,2,4,5,1,3,2,2,4,2,2,0,1,0
Perempuan,R,RStudio,3,3,2,3,2,3,3,1,15,3,3,2,2,3,2,1,2
Laki-Laki,Python,VSC (Visual Studio Code),4,2,2,2,3,2,3,8,5,4,4,4,3,4,5,8,6
Laki-Laki,R,RStudio,4,3,3,3,3,3,4,4,4,3,3,2,3,3,1,1,3
Perempuan,R,RStudio,4,4,3,2,3,3,5,1,6,3,3,3,3,3,1,1,4
Perempuan,R,RStudio,4,4,4,2,3,4,5,5,5,2,1,4,2,1,0,2,2
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,2,3,3,3,5,1,5,4,4,2,3,4,1,1,4
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,3,3,3,4,4,5,2,20,2,2,2,2,2,0,2,7
Perempuan,R,RStudio,4,4,3,3,3,3,5,2,6,2,3,3,2,2,0,1,5
Laki-Laki,R,RStudio,4,4,4,3,3,4,3,7,8,2,2,4,2,2,2,2,4
Perempuan,Python,VSC (Visual Studio Code),4,4,3,2,3,3,3,1,3,4,3,2,3,3,2,2,3
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,4,3,2,3,3,3,2,5,3,3,3,3,,2,5,3
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,3,3,2,2,3,4,7,5,4,4,4,4,4,4,,5
Perempuan,R,RStudio,4,4,4,3,3,4,4,2,17,3,3,3,3,3,1,2,4
Laki-Laki,R,RStudio,4,4,3,2,3,4,3,6,5,3,3,2,2,2,2,3,3
Laki-Laki,R,Notebook (Collab/Jupyter Notebook),4,3,3,3,2,4,4,1,4,2,3,4,3,3,2,1,4
Perempuan,R,RStudio,4,4,4,4,3,4,4,5,10,2,2,4,2,2,1,2,2
Laki-Laki,Python,VSC (Visual Studio Code),4,3,3,3,3,3,3,1,4,4,4,4,4,4,2,3,3
Laki-Laki,R,RStudio,4,3,3,2,3,2,5,2,3,3,3,3,2,3,2,4,2
Perempuan,R,RStudio,4,4,4,2,3,4,3,2,7,3,3,3,3,3,3,2,5
Perempuan,R,RStudio,4,4,3,2,3,4,5,1,8,2,3,3,2,2,0,1,2
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,4,3,2,3,3,4,3,5,4,3,2,2,3,2,2,4
Perempuan,R,RStudio,4,3,3,3,2,3,4,0,7,3,2,3,2,3,3,2,5
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),3,3,2,2,3,2,4,2,3,4,3,1,3,4,2,0,5
Laki-Laki,R,RStudio,4,3,4,2,4,4,4,6,8,4,2,3,2,3,1,2,3
Laki-Laki,Python,RStudio,3,4,3,3,2,2,,,,3,4,3,2,3,1,0,
Perempuan,Python,VSC (Visual Studio Code),4,3,3,3,2,2,3,2,7,4,4,4,2,4,2,2,8
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,3,3,2,2,4,3,6,3,4,3,2,4,1,5,4
Perempuan,Python,Notebook (Collab/Jupyter Notebook),4,4,3,2,3,3,4,3,5,3,3,2,3,3,0,0,3
Perempuan,R,RStudio,4,4,4,3,3,4,5,0,4,3,3,3,3,2,1,0,2
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,3,2,2,3,4,0,3,3,4,3,3,4,1,3,5
Perempuan,Python,VSC (Visual Studio Code),4,4,2,3,3,2,3,0,5,4,4,2,3,3,2,13,4
Laki-Laki,Python,Notebook (Collab/Jupyter Notebook),4,3,3,4,2,2,2,2,4,4,4,4,3,4,3,5,15
Perempuan,R,RStudio,4,4,3,3,2,3,4,3,5,4,2,4,2,3,1,10,2
Perempuan,R,RStudio,3,4,3,2,3,3,4,3,4,3,2,4,2,2,1,0,2
Perempuan,R,RStudio,4,3,2,4,2,2,3,6,5,2,3,4,2,2,2,3,6
Perempuan,Python,VSC (Visual Studio Code),4,3,2,3,2,2,2,0,4,4,3,2,3,4,3,5,5
